season,season_type,week,team_abb,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,qbr_raw,name_display,opp_abb
2021,POST,19,ARI,9.9,-8.1,42,-2.4,-2.6,0.3,-0.9,-0.1,6,Kyler Murray,LA
2021,POST,19,NE,60,-1,46,1.8,0.1,1.5,-0.6,0.2,42.5,Mac Jones,BUF
2021,POST,19,LA,85.9,3.7,29,4.4,3.9,0.5,-0.5,0.1,85.8,Matthew Stafford,ARI
2021,POST,19,KC,73.1,3.1,47,6.6,5.7,1.1,-1.1,-0.2,71.5,Patrick Mahomes,PIT
2021,POST,20,GB,22.6,-3,36,0.5,0.7,0,-1.9,-0.2,23.8,Aaron Rodgers,SF
2021,POST,20,SF,14.7,-3.1,24,-0.8,-0.7,0,-2,-0.1,13.7,Jimmy Garoppolo,GB
2021,POST,20,CIN,33.4,-4.1,50,0.8,0,1.1,-4.2,-0.3,24,Joe Burrow,TEN
2021,POST,20,BUF,92.1,9.7,52,14.6,11.5,3.3,-0.9,-0.1,93.3,Josh Allen,KC
2021,POST,20,LA,72.8,3,44,6.1,6,0,-0.6,0,72.4,Matthew Stafford,TB
2021,POST,20,KC,96.9,11.7,55,16.9,11,5.6,-0.6,0.3,95.3,Patrick Mahomes,BUF
2021,POST,21,SF,75.5,1.4,33,4.6,4.3,0.2,0,0.1,64.3,Jimmy Garoppolo,LA
2021,POST,21,CIN,60.8,2.1,49,6.7,3.4,3.1,-0.4,0.1,64.8,Joe Burrow,KC
2021,POST,21,LA,67.4,2.8,50,7.6,6.5,0.8,-0.6,0.3,68.8,Matthew Stafford,SF
2021,POST,21,KC,45.9,-0.3,48,4.3,3.5,0.5,-1.8,0.2,48.2,Patrick Mahomes,CIN
2021,POST,22,CIN,45.7,-1.7,41,2.3,0.9,1.4,-3,0,36.1,Joe Burrow,LA
2021,POST,22,LA,66.4,2.2,48,6.8,6.8,0.1,-1,-0.1,65.3,Matthew Stafford,CIN
2022,REG,16,WAS,84.2,2.1,24,4.2,5.6,-1.4,-0.8,0.1,77.1,Carson Wentz,SF
2022,POST,19,SF,90.2,5.5,35,8.1,6.8,1.3,-0.5,0,90.3,Brock Purdy,SEA
2022,POST,19,DAL,96.8,8.8,41,9.9,8.1,1.8,-0.5,-0.1,95.5,Dak Prescott,TB
2022,POST,19,NYG,82.5,6,52,10.6,5.6,5,-1.1,0,83.6,Daniel Jones,MIN
2022,POST,19,SEA,67.3,0.9,46,3.5,3.6,0.2,-1.4,-0.4,56.5,Geno Smith,SF
2022,POST,19,CIN,31.7,-2.2,44,1.7,2.4,0,-1.7,-0.6,32.7,Joe Burrow,BAL
2022,POST,19,BUF,27.8,-1.7,52,3,2.5,0.3,-2.9,0.2,38.9,Josh Allen,MIA
2022,POST,19,LAC,47.7,0,50,3.6,2.8,0.9,-1.2,-0.1,50.2,Justin Herbert,JAX
2022,POST,19,MIN,86.1,5.9,42,9.6,9.4,0.2,0,0,87.9,Kirk Cousins,NYG
2022,POST,19,MIA,23.3,-7,57,-1.7,-1.4,-0.4,-2,0,15.1,Skylar Thompson,BUF
2022,POST,19,JAX,33.6,-2,55,2.5,1.7,0.7,-1,0.1,37.3,Trevor Lawrence,LAC
2022,POST,19,BAL,75,2,40,5.5,5.4,0.1,-1,0,67.3,Tyler Huntley,CIN
2022,POST,20,SF,55.2,0.2,37,3.5,3.5,-0.6,-0.9,0.6,51.5,Brock Purdy,DAL
2022,POST,20,DAL,53.1,-1,44,2.7,0.5,2.4,-0.3,-0.2,41.7,Dak Prescott,SF
2022,POST,20,NYG,11.7,-7,38,-1.9,-1.9,0,-2.3,0,7,Daniel Jones,PHI
2022,POST,20,PHI,85.2,4.7,35,5.3,3.7,1.7,-0.2,-0.1,87,Jalen Hurts,NYG
2022,POST,20,CIN,77.9,2.4,47,6,4.6,0.8,-0.4,0.6,67.4,Joe Burrow,BUF
2022,POST,20,BUF,57.6,0.8,52,4.4,3.3,1.2,-0.3,-0.1,55.1,Josh Allen,CIN
2022,POST,20,KC,78.5,3.9,33,6.7,5.7,0.6,0,0.4,84.2,Patrick Mahomes,JAX
